claim_id,location,claim_type,value_paper,digits,needs_block,claim,notes
appx_t5_treatment_cells,Online Appendix Table 5,pipeline,36,0,TRUE,"Estimate and standard error cells on the treatment rows of appendix Table 5 (Patriot Act), checked cell by cell against ground_truth/published_appendix_tables.csv",
appx_t5_other_cells,Online Appendix Table 5,pipeline,8,0,FALSE,"Intercept, sample size and R-squared cells of appendix Table 5 (Patriot Act)","The maintained rewrite drops the intercept and the party-identification covariate before writing its estimates and exports neither sample sizes nor R-squared, so nothing in maintained/output/ carries these cells; the deposited appendix script produces all of them"
appx_t6_treatment_cells,Online Appendix Table 6,pipeline,8,0,TRUE,"Estimate and standard error cells on the treatment rows of appendix Table 6 (Elite Endorsements), checked cell by cell against ground_truth/published_appendix_tables.csv",
appx_t6_other_cells,Online Appendix Table 6,pipeline,24,0,FALSE,"Intercept, sample size and R-squared cells of appendix Table 6 (Elite Endorsements)","The maintained rewrite drops the intercept and the party-identification covariate before writing its estimates and exports neither sample sizes nor R-squared, so nothing in maintained/output/ carries these cells; the deposited appendix script produces all of them"
appx_t7_treatment_cells,Online Appendix Table 7,pipeline,24,0,TRUE,"Estimate and standard error cells on the treatment rows of appendix Table 7 (Mental Illness), checked cell by cell against ground_truth/published_appendix_tables.csv",
appx_t7_other_cells,Online Appendix Table 7,pipeline,16,0,FALSE,"Intercept, sample size and R-squared cells of appendix Table 7 (Mental Illness)","The maintained rewrite drops the intercept and the party-identification covariate before writing its estimates and exports neither sample sizes nor R-squared, so nothing in maintained/output/ carries these cells; the deposited appendix script produces all of them"
appx_t8_treatment_cells,Online Appendix Table 8,pipeline,8,0,TRUE,"Estimate and standard error cells on the treatment rows of appendix Table 8 (System Threat), checked cell by cell against ground_truth/published_appendix_tables.csv",
appx_t8_other_cells,Online Appendix Table 8,pipeline,16,0,FALSE,"Intercept, sample size and R-squared cells of appendix Table 8 (System Threat)","The maintained rewrite drops the intercept and the party-identification covariate before writing its estimates and exports neither sample sizes nor R-squared, so nothing in maintained/output/ carries these cells; the deposited appendix script produces all of them"
appx_t9_treatment_cells,Online Appendix Table 9,pipeline,12,0,TRUE,"Estimate and standard error cells on the treatment rows of appendix Table 9 (Expert Economists: Immigration, Health Care and China), checked cell by cell against ground_truth/published_appendix_tables.csv",
appx_t9_other_cells,Online Appendix Table 9,pipeline,24,0,FALSE,"Intercept, sample size and R-squared cells of appendix Table 9 (Expert Economists: Immigration, Health Care and China)","The maintained rewrite drops the intercept and the party-identification covariate before writing its estimates and exports neither sample sizes nor R-squared, so nothing in maintained/output/ carries these cells; the deposited appendix script produces all of them"
appx_t10_treatment_cells,Online Appendix Table 10,pipeline,8,0,TRUE,"Estimate and standard error cells on the treatment rows of appendix Table 10 (Expert Economists: Tax Cuts and Gold Standard), checked cell by cell against ground_truth/published_appendix_tables.csv",
appx_t10_other_cells,Online Appendix Table 10,pipeline,16,0,FALSE,"Intercept, sample size and R-squared cells of appendix Table 10 (Expert Economists: Tax Cuts and Gold Standard)","The maintained rewrite drops the intercept and the party-identification covariate before writing its estimates and exports neither sample sizes nor R-squared, so nothing in maintained/output/ carries these cells; the deposited appendix script produces all of them"
appx_t11_treatment_cells,Online Appendix Table 11,pipeline,24,0,TRUE,"Estimate and standard error cells on the treatment rows of appendix Table 11 (Free Trade), checked cell by cell against ground_truth/published_appendix_tables.csv",
appx_t11_other_cells,Online Appendix Table 11,pipeline,12,0,FALSE,"Intercept, sample size and R-squared cells of appendix Table 11 (Free Trade)","The maintained rewrite drops the intercept and the party-identification covariate before writing its estimates and exports neither sample sizes nor R-squared, so nothing in maintained/output/ carries these cells; the deposited appendix script produces all of them"
appx_t12_treatment_cells,Online Appendix Table 12,pipeline,6,0,TRUE,"Estimate and standard error cells on the treatment rows of appendix Table 12 (Extremity), checked cell by cell against ground_truth/published_appendix_tables.csv",
appx_t12_other_cells,Online Appendix Table 12,pipeline,12,0,FALSE,"Intercept, sample size and R-squared cells of appendix Table 12 (Extremity)","The maintained rewrite drops the intercept and the party-identification covariate before writing its estimates and exports neither sample sizes nor R-squared, so nothing in maintained/output/ carries these cells; the deposited appendix script produces all of them"
appx_t13_treatment_cells,Online Appendix Table 13,pipeline,6,0,TRUE,"Estimate and standard error cells on the treatment rows of appendix Table 13 (Perceived Polarization), checked cell by cell against ground_truth/published_appendix_tables.csv",
appx_t13_other_cells,Online Appendix Table 13,pipeline,12,0,FALSE,"Intercept, sample size and R-squared cells of appendix Table 13 (Perceived Polarization)","The maintained rewrite drops the intercept and the party-identification covariate before writing its estimates and exports neither sample sizes nor R-squared, so nothing in maintained/output/ carries these cells; the deposited appendix script produces all of them"
appx_t14_treatment_cells,Online Appendix Table 14,pipeline,6,0,TRUE,"Estimate and standard error cells on the treatment rows of appendix Table 14 (Crime Spending), checked cell by cell against ground_truth/published_appendix_tables.csv",
appx_t14_other_cells,Online Appendix Table 14,pipeline,12,0,FALSE,"Intercept, sample size and R-squared cells of appendix Table 14 (Crime Spending)","The maintained rewrite drops the intercept and the party-identification covariate before writing its estimates and exports neither sample sizes nor R-squared, so nothing in maintained/output/ carries these cells; the deposited appendix script produces all of them"
appx_t15_treatment_cells,Online Appendix Table 15,pipeline,6,0,TRUE,"Estimate and standard error cells on the treatment rows of appendix Table 15 (Health Care Spending), checked cell by cell against ground_truth/published_appendix_tables.csv",
appx_t15_other_cells,Online Appendix Table 15,pipeline,12,0,FALSE,"Intercept, sample size and R-squared cells of appendix Table 15 (Health Care Spending)","The maintained rewrite drops the intercept and the party-identification covariate before writing its estimates and exports neither sample sizes nor R-squared, so nothing in maintained/output/ carries these cells; the deposited appendix script produces all of them"
appx_t16_treatment_cells,Online Appendix Table 16,pipeline,6,0,TRUE,"Estimate and standard error cells on the treatment rows of appendix Table 16 (Stimulus Spending), checked cell by cell against ground_truth/published_appendix_tables.csv",
appx_t16_other_cells,Online Appendix Table 16,pipeline,12,0,FALSE,"Intercept, sample size and R-squared cells of appendix Table 16 (Stimulus Spending)","The maintained rewrite drops the intercept and the party-identification covariate before writing its estimates and exports neither sample sizes nor R-squared, so nothing in maintained/output/ carries these cells; the deposited appendix script produces all of them"
appx_t17_treatment_cells,Online Appendix Table 17,pipeline,6,0,TRUE,"Estimate and standard error cells on the treatment rows of appendix Table 17 (Terrorism Spending), checked cell by cell against ground_truth/published_appendix_tables.csv",
appx_t17_other_cells,Online Appendix Table 17,pipeline,12,0,FALSE,"Intercept, sample size and R-squared cells of appendix Table 17 (Terrorism Spending)","The maintained rewrite drops the intercept and the party-identification covariate before writing its estimates and exports neither sample sizes nor R-squared, so nothing in maintained/output/ carries these cells; the deposited appendix script produces all of them"
